,Unnamed: 0,l,pos_degree_of_bal,neg_degree_of_bal,rel_signed_clust_coeff,pos_to_neg_ratio,neg_to_pos_ratio,total_est,pos_est,neg_est,total_zeros,pos_zeros,neg_zeros,total_occurred,pos_occurred,neg_occurred,pos_degree_of_bal_graph,neg_degree_of_bal_graph,run,kind,directed,neg_edge_dist_exact,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,pyr_spec_edge_prob,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
46,46,46,0.5034967972277603,0.4965032027722431,0.0069935944555172,1.014085698574487,0.9861099524485084,1.1227470626587108e+105,5.6529955014553646e+104,5.574475125131782e+104,False,False,False,47615,23974,23641,,,,,,,,,,,,,,,,,,,,,
47,47,47,0.4956621880997968,0.504337811900179,-0.0086756238003822,0.9827979905617322,1.0175030978934294,2.074077285624261e+107,1.0280416856806086e+107,1.0460355999436027e+107,False,False,False,39075,19368,19707,,,,,,,,,,,,,,,,,,,,,
48,48,48,0.4963839370678033,0.5036160629321729,-0.0072321258643696,0.9856396044592732,1.0145696210620565,3.770300131666808e+109,1.8715164232840273e+109,1.8987837083826907e+109,False,False,False,31526,15649,15877,,,,,,,,,,,,,,,,,,,,,
49,49,49,0.500138323518954,0.4998616764810586,0.0002766470378953,1.000553447185315,0.9994468589490428,6.823972130490406e+111,3.412929981083537e+111,3.4110421494069563e+111,False,False,False,25303,12655,12648,,,,,,,,,,,,,,,,,,,,,
50,50,50,0.502461094814286,0.4975389051856905,0.0049221896285955,1.009893074847601,0.9902038393033896,1.2242274023376356e+114,6.151266408802179e+113,6.091007614573892e+113,False,False,False,20113,10106,10007,,,,,,,,,,,,,,,,,,,,,
51,51,51,0.504227469155144,0.4957725308448757,0.0084549383102683,1.0170540677109718,0.9832318966587936,2.195210072167205e+116,1.1068852189527512e+116,1.0883248532144976e+116,False,False,False,15967,8051,7916,,,,,,,,,,,,,,,,,,,,,
52,52,52,0.5074296553904497,0.4925703446095555,0.0148593107808941,1.0301668806161537,0.9707165109034464,3.931999662046165e+118,1.9952132335074504e+118,1.9367864285387355e+118,False,False,False,12652,6420,6232,,,,,,,,,,,,,,,,,,,,,
53,53,53,0.4909199166418491,0.5090800833581296,-0.0181601667162804,0.964327485380124,1.0369921164341949,7.08448618086495e+120,3.4779153653605525e+120,3.606570815504246e+120,False,False,False,10077,4947,5130,,,,,,,,,,,,,,,,,,,,,
54,54,54,0.4933052318373414,0.5066947681626711,-0.0133895363253297,0.9735747492047696,1.0271424981151318,1.2837114013434838e+123,6.332615504519857e+122,6.504498508915142e+122,False,False,False,8066,3979,4087,,,,,,,,,,,,,,,,,,,,,
55,55,55,0.4948614138897552,0.5051385861102571,-0.0102771722205018,0.9796547472256284,1.0207677784770497,2.315311798697756e+125,1.145758470299204e+125,1.1695533283985807e+125,False,False,False,6422,3178,3244,,,,,,,,,,,,,,,,,,,,,
56,56,56,0.5046820132657083,0.4953179867342944,0.0093640265314139,1.01890508074046,0.9814456899883928,4.1892374065381437e+127,2.1142327683796847e+127,2.0750046381584703e+127,False,False,False,5126,2587,2539,,,,,,,,,,,,,,,,,,,,,
57,57,57,0.5142002989536807,0.4857997010463454,0.0284005979073351,1.05846153846156,0.944767441860446,7.440942422739716e+129,3.826134818269887e+129,3.614807604470024e+129,False,False,False,4014,2064,1950,,,,,,,,,,,,,,,,,,,,,
58,58,58,0.4904808002581401,0.5095191997418421,-0.019038399483702,0.9626345788473756,1.03881578947368,1.3038683355232512e+132,6.395223846386934e+131,6.643459508845347e+131,False,False,False,3099,1520,1579,,,,,,,,,,,,,,,,,,,,,
59,59,59,0.499194847020923,0.5008051529790666,-0.0016103059581436,0.9967845659163757,1.0032258064516362,2.3734690887098397e+134,1.1848235386473979e+134,1.188645550062417e+134,False,False,False,2484,1240,1244,,,,,,,,,,,,,,,,,,,,,
60,60,60,0.5039721946375374,0.4960278053624603,0.0079443892750771,1.0160160160160214,0.9842364532019652,4.372812335580442e+136,2.2037758295005715e+136,2.169036506079861e+136,False,False,False,2014,1015,999,,,,,,,,,,,,,,,,,,,,,
